"dataset","field","units","description"
"phabmet","FCVLIVETREES_DD",NA,"Fish cover: std dev. of live trees in the drawdown zone"
"phabmet","FCVLIVETREES_LIT",NA,"Fish cover: std dev. of live trees in the littoral zone"
"phabmet","FCVLIVETREES_SIM",NA,"Fish cover: std dev. of live trees simulating the 2007 protocol"
"phabmet","FCVOVERHANG",NA,"Fish cover: std dev. of overhangs"
"phabmet","FCVOVERHANG_DD",NA,"Fish cover: std dev. of overhangs in the drawdown zone"
"phabmet","FCVOVERHANG_LIT",NA,"Fish cover: std dev. of overhangs in the littoral zone"
"phabmet","FCVOVERHANG_SIM",NA,"Fish cover: std dev. of overhangs simulating the 2007 protocol"
"phabmet","FCVSNAG",NA,"Fish cover: std dev. of snags"
"phabmet","FCVSNAGS_DD",NA,"Fish cover: std dev. of snags in the drawdown zone"
"phabmet","FCVSNAGS_LIT",NA,"Fish cover: std dev. of snags in the littoral zone"
"phabmet","FCVSNAGS_SIM",NA,"Fish cover: std dev. of snags simulating the 2007 protocol"
"phabmet","FCVSTRUCTURES",NA,"Fish cover: std dev. of artificial structures"
"phabmet","FCVSTRUCTURES_DD",NA,"Fish cover: std dev. of artificial structures in the drawdown zone"
"phabmet","FCVSTRUCTURES_LIT",NA,"Fish cover: std dev. of artificial structures in the littoral zone"
"phabmet","FCVSTRUCTURES_SIM",NA,"Fish cover: std dev. of artificial structures simulating the 2007 protocol"
"phabmet","HIFPANY",NA,"Human influence: fractional presence of any influence"
"phabmet","HIFPANY_DD",NA,"Human influence: fractional presence of any influence in the drawdown zone"
"phabmet","HIFPANY_RIP",NA,"Human influence: fractional presence of any influence in the riparian zone"
"phabmet","HIFPANY_SYN",NA,"Human influence: fractional presence of any influence synthesizing the 2007 protocol"
"phabmet","HIFPANYCIRCA",NA,"Human influence: fractional presence of any influence occuring in station plots"
"phabmet","HIFPANYCIRCA_DD",NA,"Human influence: fractional presence of any influence occuring in station plots in the drawdown zone"
"phabmet","HIFPANYCIRCA_RIP",NA,"Human influence: fractional presence of any influence occuring in station plots in the riparian zone"
"phabmet","HIFPANYCIRCA_SYN",NA,"Human influence: fractional presence of any influence occuring in station plots synthesizing the 2007 protocol"
"phabmet","HIIAG",NA,"Human influence: index of agricultural influences"
"phabmet","HIIAG_DD",NA,"Human influence: index of agricultural influences in the drawdown zone"
"phabmet","HIIAG_RIP",NA,"Human influence: index of agricultural influences in the riparian zone"
"phabmet","HIIAG_SYN",NA,"Human influence: index of agricultural influences synthesizing the 2007 protocol"
"phabmet","HIIAGCIRCA",NA,"Human influence: index of agricultural influences occuring close to shore"
"phabmet","HIIAGCIRCA_DD",NA,"Human influence: index of agricultural influences occuring close to shore in the drawdown zone"
"phabmet","HIIAGCIRCA_RIP",NA,"Human influence: index of agricultural influences occuring close to shore in the riparian zone"
"phabmet","HIIAGCIRCA_SYN",NA,"Human influence: index of agricultural influences occuring close to shore synthesizing the 2007 protocol"
"phabmet","HIIALL",NA,"Human influence: index of all human influences"
"phabmet","HIIALL_DD",NA,"Human influence: index of all human influences in the drawdown zone"
"phabmet","HIIALL_RIP",NA,"Human influence: index of all human influences in the riparian zone"
"phabmet","HIIALL_SYN",NA,"Human influence: index of all human influences synthesizing the 2007 protocol"
"phabmet","HIIALLCIRCA",NA,"Human influence: index of all influences occuring close to shore"
"phabmet","HIIALLCIRCA_DD",NA,"Human influence: index of all influences occuring close to shore in the drawdown zone"
"phabmet","HIIALLCIRCA_RIP",NA,"Human influence: index of all influences occuring close to shore in the riparian zone"
"phabmet","HIIALLCIRCA_SYN",NA,"Human influence: index of all influences occuring close to shore synthesizing the 2007 protocol"
"phabmet","HIINONAG",NA,"Human influence: index of nonagricultural influences"
"phabmet","HIINONAG_DD",NA,"Human influence: index of nonagricultural influences in the drawdown zone"
"phabmet","HIINONAG_RIP",NA,"Human influence: index of nonagricultural influences in the riparian zone"
"phabmet","HIINONAG_SYN",NA,"Human influence: index of nonagricultural influences synthesizing the 2007 protocol"
"phabmet","HIINONAGCIRCA",NA,"Human influence: index of nonagricultural influences occuring close to shore"
"phabmet","HIINONAGCIRCA_DD",NA,"Human influence: index of nonagricultural influences occuring close to shore in the drawdown zone"
"phabmet","HIINONAGCIRCA_RIP",NA,"Human influence: index of nonagricultural influences occuring close to shore in the riparian zone"
"phabmet","HIINONAGCIRCA_SYN",NA,"Human influence: index of nonagricultural influences occuring close to shore synthesizing the 2007 protocol"
"phabmet","HINAG",NA,"Human influence: count of all values used"
"phabmet","HINAG_DD",NA,"Human influence: count of all values used in the drawdown zone"
"phabmet","HINAG_RIP",NA,"Human influence: count of all values used in the riparian zone"
"phabmet","HINAG_SYN",NA,"Human influence: count of all values used synthesizing the 2007 protocol"
"phabmet","HINALL",NA,"Human influence: count of all values used"
"phabmet","HINALL_DD",NA,"Human influence: count of all values used in the drawdown zone"
"phabmet","HINALL_RIP",NA,"Human influence: count of all values used in the riparian zone"
"phabmet","HINALL_SYN",NA,"Human influence: count of all values used synthesizing the 2007 protocol"
"phabmet","HINBUILDINGS",NA,"Human influence: count of values"
"phabmet","HINBUILDINGS_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINBUILDINGS_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINBUILDINGS_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINCOMMERCIAL",NA,"Human influence: count of values"
"phabmet","HINCOMMERCIAL_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINCOMMERCIAL_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINCOMMERCIAL_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINCROPS",NA,"Human influence: count of values"
"phabmet","HINCROPS_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINCROPS_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINCROPS_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINDOCKS",NA,"Human influence: count of values"
"phabmet","HINDOCKS_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINDOCKS_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINDOCKS_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINLANDFILL",NA,"Human influence: count of values"
"phabmet","HINLANDFILL_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINLANDFILL_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINLANDFILL_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINLAWN",NA,"Human influence: count of values"
"phabmet","HINLAWN_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINLAWN_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINLAWN_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINNONAG",NA,"Human influence: count of all values used"
"phabmet","HINNONAG_DD",NA,"Human influence: count of all values used in the drawdown zone"
"phabmet","HINNONAG_RIP",NA,"Human influence: count of all values used in the riparian zone"
"phabmet","HINNONAG_SYN",NA,"Human influence: count of all values used synthesizing the 2007 protocol"
"phabmet","HINORCHARD",NA,"Human influence: count of values"
"phabmet","HINORCHARD_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINORCHARD_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINORCHARD_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINOTHER_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINOTHER_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINOTHER_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINPARK",NA,"Human influence: count of values"
"phabmet","HINPARK_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINPARK_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINPARK_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINPASTURE",NA,"Human influence: count of values"
"phabmet","HINPASTURE_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINPASTURE_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINPASTURE_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINPOWERLINES",NA,"Human influence: count of values"
"phabmet","HINPOWERLINES_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINPOWERLINES_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINPOWERLINES_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINROADS",NA,"Human influence: count of values"
"phabmet","HINROADS_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINROADS_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINROADS_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HINWALLS",NA,"Human influence: count of values"
"phabmet","HINWALLS_DD",NA,"Human influence: count of values in the drawdown zone"
"phabmet","HINWALLS_RIP",NA,"Human influence: count of values in the riparian zone"
"phabmet","HINWALLS_SYN",NA,"Human influence: count of values synthesizing the 2007 protocol"
"phabmet","HIPWAG",NA,"Human influence: weighted presence of agricultural influences"
"phabmet","HIPWAG_DD",NA,"Human influence: weighted presence of agricultural influences in the drawdown zone"
"phabmet","HIPWAG_RIP",NA,"Human influence: weighted presence of agricultural influences in the riparian zone"
"phabmet","HIPWAG_SYN",NA,"Human influence: weighted presence of agricultural influences synthesizing the 2007 protocol"
"phabmet","HIPWALL",NA,"Human influence: w1_hall"
"phabmet","HIPWALL_DD",NA,"Human influence: w1_hall in the drawdown zone"
"phabmet","HIPWALL_RIP",NA,"Human influence: w1_hall in the riparian zone"
"phabmet","HIPWALL_SYN",NA,"Human influence: w1_hall synthesizing the 2007 protocol"
"phabmet","HIPWBUILDINGS",NA,"Human influence: weighted presence of Buildings"
"phabmet","HIPWBUILDINGS_DD",NA,"Human influence: weighted presence of Buildings in the drawdown zone"
"phabmet","HIPWBUILDINGS_RIP",NA,"Human influence: weighted presence of Buildings in the riparian zone"
"phabmet","HIPWBUILDINGS_SYN",NA,"Human influence: weighted presence of Buildings synthesizing the 2007 protocol"
"phabmet","HIPWCOMMERCIAL",NA,"Human influence: weighted presence of Commercial"
"phabmet","HIPWCOMMERCIAL_DD",NA,"Human influence: weighted presence of Commercial in the drawdown zone"
"phabmet","HIPWCOMMERCIAL_RIP",NA,"Human influence: weighted presence of Commercial in the riparian zone"
"phabmet","HIPWCOMMERCIAL_SYN",NA,"Human influence: weighted presence of Commercial synthesizing the 2007 protocol"
"phabmet","HIPWCROPS",NA,"Human influence: weighted presence of Crops"
"phabmet","HIPWCROPS_DD",NA,"Human influence: weighted presence of Crops in the drawdown zone"
"phabmet","HIPWCROPS_RIP",NA,"Human influence: weighted presence of Crops in the riparian zone"
"phabmet","HIPWCROPS_SYN",NA,"Human influence: weighted presence of Crops synthesizing the 2007 protocol"
"phabmet","HIPWDOCKS",NA,"Human influence: weighted presence of Docks"
"phabmet","HIPWDOCKS_DD",NA,"Human influence: weighted presence of Docks in the drawdown zone"
"phabmet","HIPWDOCKS_RIP",NA,"Human influence: weighted presence of Docks in the riparian zone"
"phabmet","HIPWDOCKS_SYN",NA,"Human influence: weighted presence of Docks synthesizing the 2007 protocol"
"phabmet","HIPWLANDFILL",NA,"Human influence: weighted presence of Landfill"
"phabmet","HIPWLANDFILL_DD",NA,"Human influence: weighted presence of Landfill in the drawdown zone"
"phabmet","HIPWLANDFILL_RIP",NA,"Human influence: weighted presence of Landfill in the riparian zone"
"phabmet","HIPWLANDFILL_SYN",NA,"Human influence: weighted presence of Landfill synthesizing the 2007 protocol"
"phabmet","HIPWLAWN",NA,"Human influence: weighted presence of Lawn"
"phabmet","HIPWLAWN_DD",NA,"Human influence: weighted presence of Lawn in the drawdown zone"
"phabmet","HIPWLAWN_RIP",NA,"Human influence: weighted presence of Lawn in the riparian zone"
"phabmet","HIPWLAWN_SYN",NA,"Human influence: weighted presence of Lawn synthesizing the 2007 protocol"
"phabmet","HIPWNONAG",NA,"Human influence: weighted presence of non-agricultural influences"
"phabmet","HIPWNONAG_DD",NA,"Human influence: weighted presence of non-agricultural influences in the drawdown zone"
"phabmet","HIPWNONAG_RIP",NA,"Human influence: weighted presence of non-agricultural influences in the riparian zone"
"phabmet","HIPWNONAG_SYN",NA,"Human influence: weighted presence of non-agricultural influences synthesizing the 2007 protocol"
"phabmet","HIPWORCHARD",NA,"Human influence: weighted presence of Orchard"
"phabmet","HIPWORCHARD_DD",NA,"Human influence: weighted presence of Orchard in the drawdown zone"
"phabmet","HIPWORCHARD_RIP",NA,"Human influence: weighted presence of Orchard in the riparian zone"
"phabmet","HIPWORCHARD_SYN",NA,"Human influence: weighted presence of Orchard synthesizing the 2007 protocol"
"phabmet","HIPWOTHER_DD",NA,"Human influence: weighted presence of Other in the drawdown zone"
"phabmet","HIPWOTHER_RIP",NA,"Human influence: weighted presence of Other in the riparian zone"
"phabmet","HIPWOTHER_SYN",NA,"Human influence: weighted presence of Other synthesizing the 2007 protocol"
"phabmet","HIPWPARK",NA,"Human influence: weighted presence of Park"
"phabmet","HIPWPARK_DD",NA,"Human influence: weighted presence of Park in the drawdown zone"
"phabmet","HIPWPARK_RIP",NA,"Human influence: weighted presence of Park in the riparian zone"
"phabmet","HIPWPARK_SYN",NA,"Human influence: weighted presence of Park synthesizing the 2007 protocol"
"phabmet","HIPWPASTURE",NA,"Human influence: weighted presence of Pasture"
"phabmet","HIPWPASTURE_DD",NA,"Human influence: weighted presence of Pasture in the drawdown zone"
"phabmet","HIPWPASTURE_RIP",NA,"Human influence: weighted presence of Pasture in the riparian zone"
"phabmet","HIPWPASTURE_SYN",NA,"Human influence: weighted presence of Pasture synthesizing the 2007 protocol"
"phabmet","HIPWPOWERLINES",NA,"Human influence: weighted presence of Powerlines"
"phabmet","HIPWPOWERLINES_DD",NA,"Human influence: weighted presence of Powerlines in the drawdown zone"
"phabmet","HIPWPOWERLINES_RIP",NA,"Human influence: weighted presence of Powerlines in the riparian zone"
"phabmet","HIPWPOWERLINES_SYN",NA,"Human influence: weighted presence of Powerlines synthesizing the 2007 protocol"
"phabmet","HIPWROADS",NA,"Human influence: weighted presence of Roads"
"phabmet","HIPWROADS_DD",NA,"Human influence: weighted presence of Roads in the drawdown zone"
"phabmet","HIPWROADS_RIP",NA,"Human influence: weighted presence of Roads in the riparian zone"
"phabmet","HIPWROADS_SYN",NA,"Human influence: weighted presence of Roads synthesizing the 2007 protocol"
"phabmet","HIPWWALLS",NA,"Human influence: weighted presence of Walls"
"phabmet","HIPWWALLS_DD",NA,"Human influence: weighted presence of Walls in the drawdown zone"
"phabmet","HIPWWALLS_RIP",NA,"Human influence: weighted presence of Walls in the riparian zone"
"phabmet","HIPWWALLS_SYN",NA,"Human influence: weighted presence of Walls synthesizing the 2007 protocol"
"phabmet","HORIZDD","m","Horizontal drawdown distance"
"phabmet","LitCvrQc3OE",NA,"NLA 2012 Shallow water habitat condition indicator"
"phabmet","LitRipCvrQc3OE",NA,"NLA 2012 Lake habitat complexity condition indicator"
"phabmet","LMFPARTIFICIAL",NA,"littoral fish macrohabitat: fractional presence of artificial fish cover"
"phabmet","LMFPBEDROCK",NA,"littoral fish macrohabitat: fraction of dominant substrate that is Bedrock"
"phabmet","LMFPBOULDERS",NA,"littoral fish macrohabitat: fractional presence of boulder fish cover"
"phabmet","LMFPCOBBLE",NA,"littoral fish macrohabitat: fraction of dominant substrate that is Cobble"
"phabmet","LMFPCONTINUOUS",NA,"littoral fish macrohabitat: fractional presence of continuous littoral fish cover"
"phabmet","LMFPFILL",NA,"littoral fish macrohabitat: fractional presence of fill fish cover"
"phabmet","LMFPLITTLE",NA,"littoral fish macrohabitat: fractional presence of little or no littoral fish cover"
"phabmet","LMFPMUD",NA,"littoral fish macrohabitat: fraction of dominant substrate that is Mud"
"phabmet","LMFPNONE",NA,"littoral fish macrohabitat: fractional presence of no fish cover"
"phabmet","LMFPPATCHY",NA,"littoral fish macrohabitat: fractional presence of patchy littoral fish cover"
"phabmet","LMFPSAND",NA,"littoral fish macrohabitat: fraction of dominant substrate that is Sand"
"phabmet","LMFPVEG",NA,"Fractional presence of vegetation fish cover - NLA 2007 only"
"phabmet","LMFPWOODY",NA,"littoral fish macrohabitat: fractional presence of woody fish cover"
"phabmet","LMNCOVER",NA,"littoral fish macrohabitat: number of macrohabitat data"
"phabmet","LMNCOVERTYPES",NA,"littoral fish macrohabitat: Count of stations at which we have cover type data"
"phabmet","LMNHUMAN",NA,"littoral fish macrohabitat: count of human disturbance values"
"phabmet","LMNSUBSTRATE",NA,"littoral fish macrohabitat: count of dominant substrate class data"
"phabmet","LMOCOVER",NA,"littoral fish macrohabitat: Mode of littoral fish cover type"
"phabmet","LMOSUBSTRATE",NA,"littoral fish macrohabitat: mode of dominant substrate class"
"phabmet","LMPWHUMAN",NA,"littoral fish macrohabitat: weighted presence of human disturbance"
"phabmet","LZFPALGAE",NA,"Littoral zone: fractional presence of littoral algal film"
"phabmet","LZFPFILM",NA,"Littoral zone: fractional presence of any type of film other than None"
"phabmet","LZFPNONE",NA,"Littoral zone: fractional presence of no littoral film"
"phabmet","LZFPOILY",NA,"Littoral zone: fractional presence of littoral oily film"
"phabmet","LZFPOTHER",NA,"Littoral zone: fractional presence of littoral other film"
"phabmet","LZFPSCUM",NA,"Littoral zone: fractional presence of littoral scum film"
"phabmet","LZIFILMVARIETY",NA,"Littoral zone: mean(count of film types other than None at each station)"
"phabmet","LZOFILM",NA,"Littoral zone: mode of surface film type"
"phabmet","RDis_IX",NA,"NLA 2012 Lakeshore disturbance condition indicator"
"phabmet","RVegQc3OE",NA,"NLA 2012 Riparian vegetation condition indicator"
"phabmet","RVFCCANBIG",NA,"riparian zone and vegetation: fraction of canopy cover by trees &gt;30 cm dbh"
"phabmet","RVFCCANBIG_DD",NA,"riparian zone and vegetation: fraction of canopy cover by trees &gt;30 cm dbh in the drawdown zone"
"phabmet","RVFCCANBIG_RIP",NA,"riparian zone and vegetation: fraction of canopy cover by trees &gt;30 cm dbh in the riparian zone"
"phabmet","RVFCCANBIG_SYN",NA,"riparian zone and vegetation: fraction of canopy cover by trees &gt;30 cm dbh synthesizing the 2007 protocol"
"phabmet","RVFCCANSMALL",NA,"riparian zone and vegetation: fraction of canopy cover by trees &lt;30 cm dbh"
"phabmet","RVFCCANSMALL_DD",NA,"riparian zone and vegetation: fraction of canopy cover by trees &lt;30 cm dbh in the drawdown zone"
"phabmet","RVFCCANSMALL_RIP",NA,"riparian zone and vegetation: fraction of canopy cover by trees &lt;30 cm dbh in the riparian zone"
"phabmet","RVFCCANSMALL_SYN",NA,"riparian zone and vegetation: fraction of canopy cover by trees &lt;30 cm dbh synthesizing the 2007 protocol"
"phabmet","RVFCGNDBARE",NA,"riparian zone and vegetation: fraction of ground lacking cover"
"phabmet","RVFCGNDBARE_DD",NA,"riparian zone and vegetation: fraction of ground lacking cover in the drawdown zone"
"phabmet","RVFCGNDBARE_RIP",NA,"riparian zone and vegetation: fraction of ground lacking cover in the riparian zone"
"phabmet","RVFCGNDBARE_SYN",NA,"riparian zone and vegetation: fraction of ground lacking cover synthesizing the 2007 protocol"
"phabmet","RVFCGNDINUNDATED",NA,"riparian zone and vegetation: fraction of ground cover by inundation"
"phabmet","RVFCGNDINUNDATED_DD",NA,"riparian zone and vegetation: fraction of ground cover by inundation in the drawdown zone"
"phabmet","RVFCGNDINUNDATED_RIP",NA,"riparian zone and vegetation: fraction of ground cover by inundation in the riparian zone"
"phabmet","RVFCGNDINUNDATED_SYN",NA,"riparian zone and vegetation: fraction of ground cover by inundation synthesizing the 2007 protocol"
"phabmet","RVFCGNDNONW",NA,"riparian zone and vegetation: fraction of ground cover by herbaceous vegetation"
"phabmet","RVFCGNDNONW_DD",NA,"riparian zone and vegetation: fraction of ground cover by herbaceous vegetation in the drawdown zone"
"phabmet","RVFCGNDNONW_RIP",NA,"riparian zone and vegetation: fraction of ground cover by herbaceous vegetation in the riparian zone"
"phabmet","RVFCGNDNONW_SYN",NA,"riparian zone and vegetation: fraction of ground cover by herbaceous vegetation synthesizing the 2007 protocol"
"phabmet","RVFCGNDWOODY",NA,"riparian zone and vegetation: fraction of ground cover by woody vegetation"
"phabmet","RVFCGNDWOODY_DD",NA,"riparian zone and vegetation: fraction of ground cover by woody vegetation in the drawdown zone"
"phabmet","RVFCGNDWOODY_RIP",NA,"riparian zone and vegetation: fraction of ground cover by woody vegetation in the riparian zone"
"phabmet","RVFCGNDWOODY_SYN",NA,"riparian zone and vegetation: fraction of ground cover by woody vegetation synthesizing the 2007 protocol"
"phabmet","RVFCUNDNONW",NA,"riparian zone and vegetation: fraction of understory cover by nonwoody vegetation"
"phabmet","RVFCUNDNONW_DD",NA,"riparian zone and vegetation: fraction of understory cover by nonwoody vegetation in the drawdown zone"
"phabmet","RVFCUNDNONW_RIP",NA,"riparian zone and vegetation: fraction of understory cover by nonwoody vegetation in the riparian zone"
"phabmet","RVFCUNDNONW_SYN",NA,"riparian zone and vegetation: fraction of understory cover by nonwoody vegetation synthesizing the 2007 protocol"
"phabmet","RVFCUNDWOODY",NA,"riparian zone and vegetation: fraction of understory cover by woody vegetation"
"phabmet","RVFCUNDWOODY_DD",NA,"riparian zone and vegetation: fraction of understory cover by woody vegetation in the drawdown zone"
"phabmet","RVFCUNDWOODY_RIP",NA,"riparian zone and vegetation: fraction of understory cover by woody vegetation in the riparian zone"
"phabmet","RVFCUNDWOODY_SYN",NA,"riparian zone and vegetation: fraction of understory cover by woody vegetation synthesizing the 2007 protocol"
"phabmet","RVFPCANBIG",NA,"riparian zone and vegetation: Fraction of canopy with large trees present"
"phabmet","RVFPCANBIG_DD",NA,"riparian zone and vegetation: Fraction of canopy with large trees present in the drawdown zone"
"phabmet","RVFPCANBIG_RIP",NA,"riparian zone and vegetation: Fraction of canopy with large trees present in the riparian zone"
"phabmet","RVFPCANBIG_SYN",NA,"riparian zone and vegetation: Fraction of canopy with large trees present synthesizing the 2007 protocol"
"phabmet","RVFPCANBROADLEAF",NA,"riparian zone and vegetation: fraction of broadleaf evergreen canopy presence"
"phabmet","RVFPCANBROADLEAF_DD",NA,"riparian zone and vegetation: fraction of broadleaf evergreen canopy presence in the drawdown zone"
"phabmet","RVFPCANBROADLEAF_RIP",NA,"riparian zone and vegetation: fraction of broadleaf evergreen canopy presence in the riparian zone"
"phabmet","RVFPCANCONIFEROUS",NA,"riparian zone and vegetation: fraction of coniferous canopy presence"
"phabmet","RVFPCANCONIFEROUS_DD",NA,"riparian zone and vegetation: fraction of coniferous canopy presence in the drawdown zone"
"phabmet","RVFPCANCONIFEROUS_RIP",NA,"riparian zone and vegetation: fraction of coniferous canopy presence in the riparian zone"
"phabmet","RVFPCANDECIDUOUS",NA,"riparian zone and vegetation: fraction of deciduous canopy presence"
"phabmet","RVFPCANDECIDUOUS_DD",NA,"riparian zone and vegetation: fraction of deciduous canopy presence in the drawdown zone"
"phabmet","RVFPCANDECIDUOUS_RIP",NA,"riparian zone and vegetation: fraction of deciduous canopy presence in the riparian zone"
"phabmet","RVFPCANMIXED",NA,"riparian zone and vegetation: fraction of mixed canopy presence"
"phabmet","RVFPCANMIXED_DD",NA,"riparian zone and vegetation: fraction of mixed canopy presence in the drawdown zone"
"phabmet","RVFPCANMIXED_RIP",NA,"riparian zone and vegetation: fraction of mixed canopy presence in the riparian zone"
"phabmet","RVFPCANNONE",NA,"riparian zone and vegetation: fraction of no canopy present"
"phabmet","RVFPCANNONE_DD",NA,"riparian zone and vegetation: fraction of no canopy present in the drawdown zone"
"phabmet","RVFPCANNONE_RIP",NA,"riparian zone and vegetation: fraction of no canopy present in the riparian zone"
"phabmet","RVFPCANSMALL",NA,"riparian zone and vegetation: fraction of canopy with small trees present"
"phabmet","RVFPCANSMALL_DD",NA,"riparian zone and vegetation: fraction of canopy with small trees present in the drawdown zone"
"phabmet","RVFPCANSMALL_RIP",NA,"riparian zone and vegetation: fraction of canopy with small trees present in the riparian zone"
"phabmet","RVFPCANSMALL_SYN",NA,"riparian zone and vegetation: fraction of canopy with small trees present synthesizing the 2007 protocol"
"phabmet","RVFPGNDBARE",NA,"riparian zone and vegetation: fraction of bare ground presence"
"phabmet","RVFPGNDBARE_DD",NA,"riparian zone and vegetation: fraction of bare ground presence in the drawdown zone"
"phabmet","RVFPGNDBARE_RIP",NA,"riparian zone and vegetation: fraction of bare ground presence in the riparian zone"
"phabmet","RVFPGNDBARE_SYN",NA,"riparian zone and vegetation: fraction of bare ground presence synthesizing the 2007 protocol"
"phabmet","RVFPGNDINUNDATED",NA,"riparian zone and vegetation: fraction of inundated ground presence"
"phabmet","RVFPGNDINUNDATED_DD",NA,"riparian zone and vegetation: fraction of inundated ground presence in the drawdown zone"
"phabmet","RVFPGNDINUNDATED_RIP",NA,"riparian zone and vegetation: fraction of inundated ground presence in the riparian zone"
"phabmet","RVFPGNDINUNDATED_SYN",NA,"riparian zone and vegetation: fraction of inundated ground presence synthesizing the 2007 protocol"
"phabmet","RVFPGNDNONW",NA,"riparian zone and vegetation: fraction of nonwoody ground cover presence"
"phabmet","RVFPGNDNONW_DD",NA,"riparian zone and vegetation: fraction of nonwoody ground cover presence in the drawdown zone"
"phabmet","RVFPGNDNONW_RIP",NA,"riparian zone and vegetation: fraction of nonwoody ground cover presence in the riparian zone"
"phabmet","RVFPGNDNONW_SYN",NA,"riparian zone and vegetation: fraction of nonwoody ground cover presence synthesizing the 2007 protocol"
"phabmet","RVFPGNDWOODY",NA,"riparian zone and vegetation: fraction of woody ground cover presence"
"phabmet","RVFPGNDWOODY_DD",NA,"riparian zone and vegetation: fraction of woody ground cover presence in the drawdown zone"
"phabmet","RVFPGNDWOODY_RIP",NA,"riparian zone and vegetation: fraction of woody ground cover presence in the riparian zone"
"phabmet","RVFPGNDWOODY_SYN",NA,"riparian zone and vegetation: fraction of woody ground cover presence synthesizing the 2007 protocol"
"phabmet","RVFPUNDBROADLEAF",NA,"riparian zone and vegetation: fraction of broadleaf evergreen understory presence"
"phabmet","RVFPUNDBROADLEAF_DD",NA,"riparian zone and vegetation: fraction of broadleaf evergreen understory presence in the drawdown zone"
"phabmet","RVFPUNDBROADLEAF_RIP",NA,"riparian zone and vegetation: fraction of broadleaf evergreen understory presence in the riparian zone"
"phabmet","RVFPUNDCONIFEROUS",NA,"riparian zone and vegetation: fraction of coniferous understory presence"
"phabmet","RVFPUNDCONIFEROUS_DD",NA,"riparian zone and vegetation: fraction of coniferous understory presence in the drawdown zone"
"phabmet","RVFPUNDCONIFEROUS_RIP",NA,"riparian zone and vegetation: fraction of coniferous understory presence in the riparian zone"
"phabmet","RVFPUNDDECIDUOUS",NA,"riparian zone and vegetation: fraction of deciduous understory presence"
"phabmet","RVFPUNDDECIDUOUS_DD",NA,"riparian zone and vegetation: fraction of deciduous understory presence in the drawdown zone"
"phabmet","RVFPUNDDECIDUOUS_RIP",NA,"riparian zone and vegetation: fraction of deciduous understory presence in the riparian zone"
"phabmet","RVFPUNDMIXED",NA,"riparian zone and vegetation: fraction of mixed understory presence"
"phabmet","RVFPUNDMIXED_DD",NA,"riparian zone and vegetation: fraction of mixed understory presence in the drawdown zone"
"phabmet","RVFPUNDMIXED_RIP",NA,"riparian zone and vegetation: fraction of mixed understory presence in the riparian zone"
"phabmet","RVFPUNDNONE",NA,"riparian zone and vegetation: fraction of no understory present"
"phabmet","RVFPUNDNONE_DD",NA,"riparian zone and vegetation: fraction of no understory present in the drawdown zone"
"phabmet","RVFPUNDNONE_RIP",NA,"riparian zone and vegetation: fraction of no understory present in the riparian zone"
